ingestion_time,icao_address,timestamp,latitude,longitude,altitude_baro,heading,speed,vertical_rate,squawk,on_ground,callsign,tail_number,collection_type,flight_number,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,takeoff_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time,sim_timestamp
2023-02-16T14:01:41.257Z,A4C8A3,2/16/2023 14:01,34.456942,-117.2295,29000,51.024376,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:01
2023-02-16T14:02:11.960Z,A4C8A3,2/16/2023 14:02,34.494461,-117.173001,29000,51.125977,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:14.101Z,A4C8A3,2/16/2023 14:02,34.496325,-117.170162,29000,51.449364,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:19.625Z,A4C8A3,2/16/2023 14:02,34.503296,-117.159604,29000,51.298645,430,,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:21.779Z,A4C8A3,2/16/2023 14:02,34.507126,-117.153797,29000,51.330063,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:24.018Z,A4C8A3,2/16/2023 14:02,34.50975,-117.149851,29000,51.087452,430,-60,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:25.545Z,A4C8A3,2/16/2023 14:02,34.512405,-117.145872,29000,51.004986,430,-60,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:27.720Z,A4C8A3,2/16/2023 14:02,34.515152,-117.141724,29000,51.2136,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:29.929Z,A4C8A3,2/16/2023 14:02,34.517414,-117.13829,29000,51.356968,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:32.125Z,A4C8A3,2/16/2023 14:02,34.52165,-117.131824,29000,51.692677,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:36.512Z,A4C8A3,2/16/2023 14:02,34.524399,-117.127654,29000,51.336002,430,60,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:38.786Z,A4C8A3,2/16/2023 14:02,34.526864,-117.123985,29000,50.80448,430,60,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:40.963Z,A4C8A3,2/16/2023 14:02,34.530541,-117.118435,29000,51.189934,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:02:43.140Z,A4C8A3,2/16/2023 14:02,34.533148,-117.114429,29000,51.688797,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:02
2023-02-16T14:03:12.060Z,A4C8A3,2/16/2023 14:03,34.570576,-117.058754,29000,50.382725,430,0,4602,0,SWA1361,N407WN,terrestrial,WN1361,B737,Boeing 737-7H4,WN,Southwest Airlines,-800,KLAX,LAX,2023-02-16T13:30:00Z,2023-02-16T13:45:33Z,-800,KLAS,LAS,2023-02-16T14:45:00Z,2023-02-16T14:36:00Z,2/16/2023 14:03
