globalid,ingestion_time,icao_address,timestamp,latitude,longitude,altitude_baro,heading,speed,vertical_rate,squawk,on_ground,callsign,tail_number,collection_type,flight_number,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_airport_icao,departure_airport_iata,departure_scheduled_time,takeoff_time,arrival_utc_offset,arrival_airport_icao,arrival_airport_iata,arrival_scheduled_time,arrival_estimated_time
{AC181591-39E6-44FB-8168-5517E9ED25CF},2023-02-01T15:07:30.479Z,A0D30C,2/1/2023 3:07:26 PM,36.399055,-121.702043,9775,302.75195,324.3,,1007,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KVNY,VNY,,2023-02-01T14:33:56Z,-800,KMRY,MRY,,
{DFD8F4EE-4C32-458A-9033-9DC022D7CB50},2023-02-01T15:07:35.057Z,A21C4C,2/1/2023 3:07:31 PM,36.589361,-121.854216,,293.36145,9.8,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{C9575F53-15BF-47FF-B931-27137883833B},2023-02-01T15:07:36.644Z,A21C4C,2/1/2023 3:07:32 PM,36.589371,-121.854272,,293.36145,9.8,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{8CA09B62-37F2-4D3C-A8E6-9F25458E85BE},2023-02-01T15:07:43.551Z,A21C4C,2/1/2023 3:07:39 PM,36.589489,-121.854639,,292.1581,9.2,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{7DC9E3A9-4AA9-4EBF-8A88-68993D590321},2023-02-01T15:07:43.460Z,A0D30C,2/1/2023 3:07:39 PM,36.408691,-121.720676,9775,302.72803,324.3,,1007,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KVNY,VNY,,2023-02-01T14:33:56Z,-800,KMRY,MRY,,
{F4EAE25F-DD88-4631-AE58-EA7D2657DA75},2023-02-01T15:07:45.728Z,A21C4C,2/1/2023 3:07:41 PM,36.589524,-121.854727,,292.1581,9.2,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{3B100424-A7E5-4FF0-B583-2E998EE99F31},2023-02-01T15:07:45.757Z,A0D30C,2/1/2023 3:07:42 PM,36.411621,-121.726341,9775,302.72684,325.1,,1007,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KVNY,VNY,,2023-02-01T14:33:56Z,-800,KMRY,MRY,,
{23BA4FCA-65B4-437D-9C3D-5C9998C5D158},2023-02-01T15:07:48.039Z,A21C4C,2/1/2023 3:07:42 PM,36.589542,-121.854773,,292.1581,8.8,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{6C68451E-9359-468E-8C74-636CC78695A3},2023-02-01T15:07:53.132Z,A21C4C,2/1/2023 3:07:49 PM,36.589645,-121.855102,,291.83252,7.8,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{E72F0020-38DB-4761-8036-8BBCF6AAD3CE},2023-02-01T15:07:55.349Z,A21C4C,2/1/2023 3:07:52 PM,36.589691,-121.855216,,291.83252,7.8,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{F37527D0-41B2-4109-9862-931341BDAD27},2023-02-01T15:07:57.144Z,A21C4C,2/1/2023 3:07:53 PM,36.589698,-121.855253,,291.83252,7.8,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{93C2BC44-CBBE-4721-A61B-C571C79A1876},2023-02-01T15:07:57.171Z,A0D30C,2/1/2023 3:07:53 PM,36.42215,-121.746712,9775,302.71832,325.1,0,1007,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KVNY,VNY,,2023-02-01T14:33:56Z,-800,KMRY,MRY,,
{4482425D-FD96-413F-9228-34ED22644987},2023-02-01T15:07:59.519Z,A0D30C,2/1/2023 3:07:57 PM,36.423029,-121.748443,9775,302.27036,325.1,0,1007,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KVNY,VNY,,2023-02-01T14:33:56Z,-800,KMRY,MRY,,
{0DC83CB2-08FD-4E0B-9697-82C92581731B},2023-02-01T15:08:03.916Z,A21C4C,2/1/2023 3:08:00 PM,36.589794,-121.855516,,293.57837,6.8,,6321,-1,ENY3655,N235NN,terrestrial,AA3655,E75L,Embraer 170-200LR-175LR,MQ,Envoy Air,-800,KMRY,MRY,2023-02-01T14:58:00Z,,-600,KDFW,DFW,2023-02-01T18:22:00Z,2023-02-01T18:30:00Z
{F1C78633-9307-438F-9001-C9B2D54B170A},2023-02-01T15:08:03.946Z,A0D30C,2/1/2023 3:08:00 PM,36.426224,-121.754608,9775,302.7795,320,,1007,0,EJA152,N152QS,terrestrial,1L152,GLEX,Bombardier BD-700-1A10 Global 6000,1L,NetJets Aviation,-800,KVNY,VNY,,2023-02-01T14:33:56Z,-800,KMRY,MRY,,
